old_id	new_id	new_id.scientific_name
NCBI:txid1006532	NCBI:txid1070836	HIV-1 M:G_PT806
NCBI:txid1006533	NCBI:txid1070831	HIV-1 M:G_PT6060
NCBI:txid1006534	NCBI:txid1070834	HIV-1 M:G_PT727
NCBI:txid1006536	NCBI:txid1070682	HIV-1 M:B_PT695
NCBI:txid1006537	NCBI:txid1070687	HIV-1 M:B_PT983
NCBI:txid1006538	NCBI:txid1070740	HIV-1 M:G_PT271
NCBI:txid1006539	NCBI:txid1070830	HIV-1 M:G_PT5236
NCBI:txid1006540	NCBI:txid1069547	HIV-1 M:B_PT1147
NCBI:txid1006552	NCBI:txid940265	Acetobacter pasteurianus subsp. pasteurianus LMG 1262 = NBRC 106471
NCBI:txid1006582	NCBI:txid663	Vibrio alginolyticus
NCBI:txid1006625	NCBI:txid1454349	Cyanaeorchis
NCBI:txid1006638	NCBI:txid125106	Cuitlauzina
NCBI:txid1006665	NCBI:txid2594666	Sorensenius
NCBI:txid1006666	NCBI:txid2594667	Sorensenius sp. DNA101432
NCBI:txid100667	NCBI:txid146937	Azospira
NCBI:txid1006715	NCBI:txid1137951	Metatithaeus rubidus
NCBI:txid100674	NCBI:txid587885	Influenza B virus (B/Harbin/7/1994)
NCBI:txid1006823	NCBI:txid283575	Melophlus sp. UCMPWC1052
NCBI:txid1006895	NCBI:txid931529	Aeromonas lusitana
NCBI:txid1006896	NCBI:txid931529	Aeromonas lusitana
NCBI:txid1006897	NCBI:txid931529	Aeromonas lusitana
NCBI:txid1006898	NCBI:txid931529	Aeromonas lusitana
NCBI:txid1006944	NCBI:txid1441716	Phyllodistomum brevicecum
NCBI:txid1006989	NCBI:txid1070740	HIV-1 M:G_PT271
NCBI:txid1006990	NCBI:txid1070801	HIV-1 M:G_PT13
NCBI:txid1006991	NCBI:txid1071025	HIV-1 M:G_PT9456
NCBI:txid1006992	NCBI:txid1070690	HIV-1 M:G_PT1631
NCBI:txid1006993	NCBI:txid1035696	HIV-1 M:B_PT893
NCBI:txid1006994	NCBI:txid1070683	HIV-1 M:B_PT709
NCBI:txid1006995	NCBI:txid1070829	HIV-1 M:D_PT317
NCBI:txid1006996	NCBI:txid1069546	HIV-1 M:B_PT107
NCBI:txid1006997	NCBI:txid1070812	HIV-1 M:G_PT482
NCBI:txid1006998	NCBI:txid1070527	HIV-1 M:B_PT16
NCBI:txid1006999	NCBI:txid1071023	HIV-1 M:G_PT98
NCBI:txid1007000	NCBI:txid1069548	HIV-1 M:B_PT114
NCBI:txid1007001	NCBI:txid1070684	HIV-1 M:B_PT8731
NCBI:txid1007002	NCBI:txid1070697	HIV-1 M:G_PT227
NCBI:txid1007003	NCBI:txid1070675	HIV-1 M:B_PT38
NCBI:txid1007004	NCBI:txid1035702	HIV-1 M:CRF02_AG_PT4773
NCBI:txid1007005	NCBI:txid1070826	HIV-1 M:CRF02_AG_PT4132
NCBI:txid1007006	NCBI:txid1070531	HIV-1 M:B_PT3013
NCBI:txid1007007	NCBI:txid1069547	HIV-1 M:B_PT1147
NCBI:txid1007008	NCBI:txid1070529	HIV-1 M:B_PT24
NCBI:txid1007009	NCBI:txid1070676	HIV-1 M:B_PT423
NCBI:txid1007010	NCBI:txid1070530	HIV-1 M:B_PT2
NCBI:txid1007011	NCBI:txid1070828	HIV-1 M:CRF02_AG_PT836
NCBI:txid1007012	NCBI:txid1070832	HIV-1 M:G_PT658
NCBI:txid1007013	NCBI:txid1070810	HIV-1 M:G_PT3
NCBI:txid1007014	NCBI:txid1070813	HIV-1 M:G_PT471
NCBI:txid1007015	NCBI:txid1071029	HIV-1 M:G_PT9000
NCBI:txid1007016	NCBI:txid1071024	HIV-1 M:G_PT955
NCBI:txid1007017	NCBI:txid1070830	HIV-1 M:G_PT5236
NCBI:txid1007018	NCBI:txid1070689	HIV-1 M:G_PT1544
NCBI:txid1007020	NCBI:txid1070833	HIV-1 M:G_PT7139
NCBI:txid1007021	NCBI:txid1070688	HIV-1 M:B_PT508
NCBI:txid1007022	NCBI:txid1070802	HIV-1 M:G_PT251
NCBI:txid1007023	NCBI:txid1070836	HIV-1 M:G_PT806
NCBI:txid1007024	NCBI:txid1070831	HIV-1 M:G_PT6060
NCBI:txid1007025	NCBI:txid1070827	HIV-1 M:CRF02_AG_PT727
NCBI:txid1007026	NCBI:txid1035687	HIV-1 M:CRF02_AG_PT988
NCBI:txid1007027	NCBI:txid1070687	HIV-1 M:B_PT983
NCBI:txid1007028	NCBI:txid1070682	HIV-1 M:B_PT695
NCBI:txid1007029	NCBI:txid1071027	HIV-1 M:G_PT85
NCBI:txid1007030	NCBI:txid1068955	HIV-1 M:B_PT073
NCBI:txid1007032	NCBI:txid1007031	Staphylotrichum boninense
NCBI:txid1007033	NCBI:txid1007031	Staphylotrichum boninense
NCBI:txid10071	NCBI:txid89096	Abrothrix andinus
NCBI:txid1007100	NCBI:txid1007099	Pseudomonas kuykendallii
NCBI:txid1007101	NCBI:txid1007099	Pseudomonas kuykendallii
NCBI:txid1007317	NCBI:txid369698	Gomphocerus sibiricus tibetanus
NCBI:txid1007324	NCBI:txid48387	Anthoceros angustus
NCBI:txid1007340	NCBI:txid2080287	Wahlenbergiella tavaresiae
NCBI:txid1007345	NCBI:txid505414	Anticollix sparsata
NCBI:txid1007487	NCBI:txid986321	Terfezia alsheikhii
NCBI:txid1007542	NCBI:txid946081	Mesorhizobium sp. R-45553
NCBI:txid1007543	NCBI:txid943819	Ensifer sp. R-45905
NCBI:txid1007545	NCBI:txid943825	Rhizobium sp. R-45648
NCBI:txid1007546	NCBI:txid943828	Bradyrhizobium sp. R-45662
NCBI:txid1007547	NCBI:txid945869	Mesorhizobium sp. R-45615
NCBI:txid1007548	NCBI:txid943829	Bradyrhizobium sp. R-45579
NCBI:txid1007549	NCBI:txid945878	Mesorhizobium sp. R-45994
NCBI:txid1007550	NCBI:txid943833	Bradyrhizobium sp. R-46017
NCBI:txid1007552	NCBI:txid945870	Mesorhizobium sp. R-46042
NCBI:txid1007553	NCBI:txid945872	Mesorhizobium sp. R-46044
NCBI:txid1007554	NCBI:txid945875	Mesorhizobium sp. R-46074
NCBI:txid1007555	NCBI:txid945874	Mesorhizobium sp. R-46071
NCBI:txid1007556	NCBI:txid945876	Mesorhizobium sp. R-46108
NCBI:txid1007557	NCBI:txid945871	Mesorhizobium sp. R-46043
NCBI:txid1007558	NCBI:txid945873	Mesorhizobium sp. R-46045
NCBI:txid1007559	NCBI:txid943838	Bradyrhizobium sp. R-46016
NCBI:txid1007560	NCBI:txid945877	Mesorhizobium sp. R-46110
NCBI:txid1007561	NCBI:txid943839	Bradyrhizobium sp. R-45957
NCBI:txid1007562	NCBI:txid943840	Bradyrhizobium sp. R-45722
NCBI:txid1007563	NCBI:txid945848	Bradyrhizobium sp. R-45743=1532
NCBI:txid1007564	NCBI:txid945862	Mesorhizobium sp. R-45754
NCBI:txid1007565	NCBI:txid945863	Mesorhizobium sp. R-45755
NCBI:txid1007566	NCBI:txid943844	Ensifer sp. R-46116
NCBI:txid1007568	NCBI:txid945847	Bradyrhizobium sp. R-46151=t187
NCBI:txid1007569	NCBI:txid943849	Ensifer sp. R-46170
NCBI:txid100757	NCBI:txid146939	Azospira oryzae
NCBI:txid1007570	NCBI:txid945850	Bradyrhizobium sp. R-46172=t240
NCBI:txid1007571	NCBI:txid945851	Bradyrhizobium sp. R-46173=t242
NCBI:txid1007572	NCBI:txid945852	Bradyrhizobium sp. R-46206=t384
NCBI:txid1007573	NCBI:txid945879	Mesorhizobium sp. R-46209
NCBI:txid1007574	NCBI:txid945853	Bradyrhizobium sp. R-46210=t414
NCBI:txid1007575	NCBI:txid943857	Ensifer sp. R-46177
NCBI:txid1007576	NCBI:txid943858	Bradyrhizobium sp. R-46220
NCBI:txid1007578	NCBI:txid945856	Bradyrhizobium sp. R-46277=t668
